movieId,tagId,relevance
1,4,0.536
1,18,0.332
1,6,0.852
1,27,0.16
1,49,0.337
1,7,0.334
1,3,0.245
1,25,0.002
2,28,0.102
2,6,0.044
2,39,0.667
2,25,0.126
2,5,0.907
2,1,0.292
2,21,0.431
2,29,0.477
3,31,0.639
3,3,0.565
3,20,0.961
3,22,0.013
3,34,0.893
3,50,0.646
3,14,0.434
3,39,0.539
4,43,0.032
4,39,0.754
4,32,0.181
4,34,0.82
4,50,0.914
4,27,0.658
4,24,0.17
4,33,0.337
5,26,0.189
5,5,0.088
5,47,0.628
5,30,0.013
5,25,0.352
5,37,0.229
5,22,0.532
5,2,0.724
6,4,0.981
6,41,0.154
6,19,0.536
6,32,0.379
6,49,0.461
6,15,0.01
6,35,0.456
6,31,0.021
7,23,0.618
7,44,0.51
7,18,0.707
7,28,0.083
7,41,0.897
7,27,0.796
7,1,0.377
7,7,0.547
8,41,0.335
8,26,0.348
8,2,0.639
8,21,0.97
8,17,0.884
8,31,0.419
8,3,0.718
8,36,0.679
9,24,0.538
9,43,0.146
9,16,0.656
9,6,0.916
9,41,0.776
9,4,0.389
9,34,0.126
9,25,0.975
10,34,0.741
10,8,0.455
10,41,0.021
10,11,0.45
10,38,0.738
10,25,0.72
10,28,0.711
10,4,0.451
11,28,0.137
11,2,0.5
11,11,0.545
11,34,0.369
11,21,0.893
11,47,0.34
11,33,0.272
11,36,0.506
12,14,0.505
12,21,0.758
12,17,0.891
12,26,0.017
12,3,0.268
12,33,0.231
12,6,0.6
12,13,0.084
13,36,0.777
13,35,0.257
13,9,0.833
13,49,0.578
13,48,0.486
13,31,0.396
13,32,0.224
13,26,0.501
14,9,0.696
14,40,0.122
14,41,0.052
14,1,0.862
14,39,0.362
14,46,0.669
14,32,0.421
14,22,0.359
15,50,0.375
15,29,0.265
15,22,0.924
15,13,0.856
15,12,0.376
15,25,0.069
15,4,0.296
15,27,0.908
16,33,0.299
16,39,0.466
16,21,0.766
16,4,0.706
16,25,0.243
16,47,0.445
16,38,0.841
16,46,0.563
17,23,0.955
17,16,0.182
17,45,0.02
17,30,0.66
17,33,0.734
17,37,0.477
17,18,0.043
17,22,0.998
18,10,0.9
18,21,0.888
18,24,0.774
18,15,0.289
18,39,0.58
18,3,0.981
18,30,0.321
18,33,0.387
19,45,0.043
19,5,0.013
19,17,0.674
19,19,0.198
19,11,0.269
19,27,0.166
19,23,0.737
19,28,0.531
20,13,0.103
20,20,0.613
20,32,0.557
20,30,0.807
20,15,0.521
20,19,0.922
20,34,0.635
20,6,0.392
21,29,0.356
21,8,0.493
21,4,0.194
21,37,0.212
21,28,0.241
21,42,0.038
21,46,0.91
21,34,0.073
22,2,0.925
22,1,0.247
22,27,0.887
22,42,0.853
22,21,0.699
22,36,0.927
22,50,0.304
22,3,0.283
23,42,0.225
23,21,0.222
23,14,0.662
23,33,0.435
23,2,0.56
23,24,0.39
23,10,0.984
23,30,0.497
24,3,0.926
24,19,0.353
24,9,0.615
24,31,0.445
24,7,0.353
24,48,0.363
24,8,0.391
24,30,0.047
25,33,0.206
25,49,0.384
25,7,0.419
25,38,0.876
25,43,0.141
25,21,0.863
25,6,0.163
25,46,0.794
26,22,0.661
26,3,0.06
26,7,0.152
26,10,0.461
26,15,0.09
26,30,0.668
26,28,0.359
26,13,0.956
27,14,0.675
27,16,0.292
27,49,0.669
27,28,0.346
27,22,0.229
27,43,0.061
27,10,0.55
27,6,0.11
28,16,0.86
28,19,0.853
28,50,0.263
28,9,0.421
28,36,0.984
28,1,0.368
28,39,0.626
28,42,0.847
29,3,0.506
29,39,0.003
29,19,0.294
29,23,0.379
29,21,0.184
29,45,0.326
29,1,0.86
29,47,0.733
30,48,0.205
30,35,0.358
30,13,0.778
30,26,0.283
30,41,0.89
30,44,0.983
30,5,0.163
30,50,0.027
31,47,0.101
31,2,1.0
31,41,0.605
31,44,0.27
31,11,0.893
31,13,0.074
31,24,0.057
31,12,0.255
32,9,0.864
32,17,0.666
32,27,0.121
32,6,0.916
32,40,0.287
32,49,0.801
32,34,0.866
32,36,0.983
33,20,0.932
33,29,0.441
33,16,0.388
33,1,0.928
33,6,0.895
33,8,0.943
33,40,0.18
33,7,0.904
34,25,0.803
34,1,0.084
